SMILES T P density einter compress inchi
CCCO 172 1 0.9063 -52.84 3.758e-05 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 209 1 0.8777 -50.93 5.01e-05 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 246 1 0.8482 -48.33 6.127e-05 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 283 1 0.8159 -44.97 9.24e-05 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 319 1 0.7827 -41.63 0.0001118 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 356 1 0.7441 -37.89 0.0001554 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 393 1 0.7012 -34.07 0.0002384 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 430 1 0.6539 -30.5 0.0004647 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 172 50 0.9051 -52.53 3.55e-05 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 209 50 0.8799 -51.09 4.705e-05 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 246 50 0.8498 -48.29 5.616e-05 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 283 50 0.8188 -45.12 7.472e-05 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 319 50 0.7858 -41.82 0.00010920000000000001 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 356 50 0.7492 -38.13 0.0001406 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 393 50 0.7097 -34.51 0.00023409999999999997 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 430 50 0.6634 -30.78 0.0003659 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 172 100 0.9026 -52.86 2.959e-05 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 209 100 0.8815 -51.41 3.973e-05 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
CCCO 246 100 0.852 -48.33 6.161e-05 InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
